date,mua_vao,ban_ra
12/01/2011,35780.0,35840.0
13/01/2011,35700.0,35760.0
14/01/2011,35570.0,35630.0
15/01/2011,35530.0,35600.0
16/01/2011,35530.0,35600.0
17/01/2011,35480.0,35550.0
18/01/2011,35570.0,35640.0
19/01/2011,35600.0,35660.0
20/01/2011,35500.0,35560.0
21/01/2011,35200.0,35260.0
22/01/2011,35200.0,35260.0
23/01/2011,35200.0,35260.0
24/01/2011,35310.0,35370.0
25/01/2011,35030.0,35090.0
26/01/2011,35110.0,35180.0
27/01/2011,35260.0,35320.0
28/01/2011,35070.0,35140.0
29/01/2011,35340.0,35400.0
30/01/2011,35450.0,35540.0
31/01/2011,35450.0,35540.0
01/02/2011,35450.0,35540.0
02/02/2011,35450.0,35540.0
03/02/2011,35450.0,35540.0
04/02/2011,35450.0,35540.0
05/02/2011,35450.0,35540.0
06/02/2011,35450.0,35540.0
07/02/2011,35450.0,35540.0
08/02/2011,35800.0,35900.0
09/02/2011,35870.0,35930.0
10/02/2011,35740.0,35810.0
11/02/2011,35900.0,35960.0
12/02/2011,35910.0,35980.0
13/02/2011,35910.0,35980.0
14/02/2011,36060.0,36130.0
15/02/2011,36350.0,36430.0
16/02/2011,36670.0,36750.0
17/02/2011,36880.0,36950.0
18/02/2011,37480.0,37580.0
19/02/2011,38000.0,38200.0
20/02/2011,38000.0,38200.0
21/02/2011,37780.0,37850.0
22/02/2011,37700.0,37800.0
23/02/2011,37550.0,37610.0
24/02/2011,37750.0,37830.0
25/02/2011,37600.0,37680.0
26/02/2011,37640.0,37710.0
27/02/2011,37640.0,37710.0
28/02/2011,37520.0,37590.0
01/03/2011,37300.0,37380.0
02/03/2011,37600.0,37700.0
03/03/2011,37670.0,37750.0
04/03/2011,37560.0,37640.0
05/03/2011,37660.0,37740.0
06/03/2011,37660.0,37740.0
07/03/2011,37650.0,37730.0
08/03/2011,37570.0,37630.0
09/03/2011,37470.0,37550.0
10/03/2011,37370.0,37450.0
11/03/2011,36850.0,36950.0
12/03/2011,36950.0,37050.0
13/03/2011,36950.0,37050.0
14/03/2011,37220.0,37300.0
15/03/2011,37050.0,37150.0
16/03/2011,36880.0,36950.0
17/03/2011,36900.0,36980.0
18/03/2011,37080.0,37150.0
19/03/2011,37070.0,37140.0
20/03/2011,37070.0,37140.0
21/03/2011,37120.0,37190.0
22/03/2011,37050.0,37120.0
23/03/2011,36970.0,37050.0
24/03/2011,36970.0,37040.0
25/03/2011,36920.0,36990.0
26/03/2011,36920.0,36990.0
27/03/2011,36920.0,36990.0
28/03/2011,36680.0,36730.0
29/03/2011,36450.0,36510.0
30/03/2011,36550.0,36620.0
31/03/2011,36850.0,36930.0
01/04/2011,36910.0,36980.0
02/04/2011,36820.0,36890.0
03/04/2011,36820.0,36890.0
04/04/2011,36690.0,36760.0
05/04/2011,36640.0,36710.0
06/04/2011,36850.0,36920.0
07/04/2011,36860.0,36940.0
08/04/2011,37120.0,37200.0
09/04/2011,37250.0,37330.0
10/04/2011,37250.0,37330.0
11/04/2011,37250.0,37330.0
12/04/2011,37250.0,37330.0
13/04/2011,36970.0,37050.0
14/04/2011,36980.0,37050.0
15/04/2011,37120.0,37190.0
16/04/2011,37220.0,37300.0
17/04/2011,37220.0,37300.0
18/04/2011,37190.0,37260.0
19/04/2011,37300.0,37370.0
20/04/2011,37500.0,37560.0
21/04/2011,37610.0,37680.0
22/04/2011,37520.0,37580.0
23/04/2011,37500.0,37570.0
24/04/2011,37500.0,37570.0
25/04/2011,37570.0,37630.0
26/04/2011,37420.0,37480.0
27/04/2011,37410.0,37480.0
28/04/2011,37570.0,37640.0
29/04/2011,37720.0,37790.0
30/04/2011,37720.0,37790.0
01/05/2011,37720.0,37790.0
02/05/2011,37720.0,37790.0
03/05/2011,37720.0,37790.0
04/05/2011,37910.0,37980.0
05/05/2011,37650.0,37730.0
06/05/2011,37300.0,37380.0
07/05/2011,37430.0,37500.0
08/05/2011,37430.0,37500.0
09/05/2011,37550.0,37630.0
10/05/2011,37560.0,37640.0
11/05/2011,37600.0,37670.0
12/05/2011,37300.0,37370.0
13/05/2011,37450.0,37520.0
14/05/2011,37370.0,37450.0
15/05/2011,37370.0,37450.0
16/05/2011,37310.0,37380.0
17/05/2011,37340.0,37410.0
18/05/2011,37320.0,37390.0
19/05/2011,37310.0,37370.0
20/05/2011,37350.0,37430.0
21/05/2011,37440.0,37510.0
22/05/2011,37440.0,37510.0
23/05/2011,37400.0,37470.0
24/05/2011,37490.0,37550.0
25/05/2011,37610.0,37670.0
26/05/2011,37530.0,37600.0
27/05/2011,37540.0,37610.0
28/05/2011,37640.0,37710.0
29/05/2011,37640.0,37710.0
30/05/2011,37690.0,37760.0
31/05/2011,37800.0,37870.0
01/06/2011,37680.0,37750.0
02/06/2011,37810.0,37880.0
03/06/2011,37710.0,37780.0
04/06/2011,37790.0,37860.0
05/06/2011,37790.0,37860.0
06/06/2011,37960.0,38020.0
07/06/2011,38000.0,38070.0
08/06/2011,37860.0,37930.0
09/06/2011,37810.0,37880.0
10/06/2011,37950.0,38010.0
11/06/2011,37820.0,37870.0
12/06/2011,37820.0,37870.0
13/06/2011,37730.0,37810.0
14/06/2011,37680.0,37740.0
15/06/2011,37690.0,37750.0
16/06/2011,37780.0,37840.0
17/06/2011,37850.0,37910.0
18/06/2011,38020.0,38080.0
19/06/2011,38020.0,38080.0
20/06/2011,38030.0,38090.0
21/06/2011,38070.0,38130.0
22/06/2011,38100.0,38160.0
23/06/2011,38050.0,38120.0
24/06/2011,37820.0,37890.0
25/06/2011,37610.0,37690.0
26/06/2011,37610.0,37690.0
27/06/2011,37660.0,37730.0
28/06/2011,37630.0,37690.0
29/06/2011,37730.0,37790.0
30/06/2011,37750.0,37810.0
01/07/2011,37570.0,37650.0
02/07/2011,37580.0,37640.0
03/07/2011,37580.0,37640.0
04/07/2011,37560.0,37620.0
05/07/2011,37540.0,37600.0
06/07/2011,37680.0,37740.0
07/07/2011,37780.0,37840.0
08/07/2011,37760.0,37820.0
09/07/2011,37920.0,37980.0
10/07/2011,37920.0,37980.0
11/07/2011,38020.0,38080.0
12/07/2011,38080.0,38150.0
13/07/2011,38580.0,38650.0
14/07/2011,38960.0,39030.0
15/07/2011,38850.0,38920.0
16/07/2011,39040.0,39100.0
17/07/2011,39040.0,39100.0
18/07/2011,39360.0,39420.0
19/07/2011,39570.0,39640.0
20/07/2011,39200.0,39270.0
21/07/2011,39460.0,39530.0
22/07/2011,39260.0,39320.0
23/07/2011,39420.0,39490.0
24/07/2011,39420.0,39490.0
25/07/2011,39840.0,39900.0
26/07/2011,39750.0,39810.0
27/07/2011,39980.0,40050.0
28/07/2011,39910.0,39970.0
29/07/2011,39940.0,40000.0
30/07/2011,40060.0,40160.0
31/07/2011,40060.0,40160.0
01/08/2011,39860.0,39920.0
02/08/2011,40070.0,40130.0
03/08/2011,41100.0,41200.0
04/08/2011,41270.0,41350.0
05/08/2011,41430.0,41500.0
06/08/2011,41700.0,41800.0
07/08/2011,41700.0,41800.0
08/08/2011,43600.0,44100.0
09/08/2011,45000.0,45600.0
10/08/2011,43900.0,44400.0
11/08/2011,45000.0,45500.0
12/08/2011,44500.0,44750.0
13/08/2011,44250.0,44550.0
14/08/2011,44250.0,44550.0
15/08/2011,44000.0,44150.0
16/08/2011,44800.0,45000.0
17/08/2011,45300.0,45500.0
18/08/2011,45350.0,45550.0
19/08/2011,47000.0,47250.0
20/08/2011,46800.0,47150.0
21/08/2011,46800.0,47150.0
22/08/2011,48150.0,48350.0
23/08/2011,48150.0,48450.0
24/08/2011,47250.0,47450.0
25/08/2011,44400.0,44800.0
26/08/2011,46450.0,46950.0
27/08/2011,47500.0,47800.0
28/08/2011,47500.0,47800.0
29/08/2011,46650.0,46950.0
30/08/2011,45900.0,46200.0
31/08/2011,46630.0,46930.0
01/09/2011,46350.0,46650.0
02/09/2011,46350.0,46650.0
03/09/2011,47800.0,48100.0
04/09/2011,47800.0,48100.0
